0.00609507 179
0.0205887 208
0.0340982 193
0.0483866 188
0.062438 209
0.0777365 210
0.0919568 194
0.10806 198
0.123917 199
0.139745 194
0.156617 228
0.173061 164
0.191234 219
0.209095 203
0.227992 196
0.246836 204
0.264997 202
0.286174 208
0.305617 186
0.328756 230
0.349746 218
0.373363 197
0.39624 194
0.420607 184
0.446951 205
0.47369 198
0.500087 174
0.529995 191
0.55924 205
0.591985 214
0.624473 199
0.660547 186
0.696482 224
0.734569 194
0.778057 220
0.819837 184
0.869608 199
0.919765 229
0.975008 202
1.03632 206
1.10142 178
1.17671 184
1.25898 195
1.3548 203
1.46631 202
1.59721 169
1.76649 215
1.99929 221
2.32452 213
3.17545 235
