4.77934 213
5.03303 203
5.14749 196
5.23114 187
5.30291 196
5.359 190
5.41313 223
5.45598 210
5.49545 202
5.53056 185
5.57349 231
5.60056 191
5.63286 190
5.66015 170
5.69297 191
5.72437 211
5.74996 193
5.78068 213
5.80326 193
5.83074 201
5.85269 174
5.88217 205
5.91036 225
5.93257 197
5.95718 196
5.98258 204
6.00915 213
6.03489 212
6.06149 226
6.08504 205
6.10975 199
6.13862 215
6.16115 196
6.18732 192
6.21782 207
6.24621 210
6.27556 202
6.30913 223
6.34044 213
6.37132 203
6.40585 193
6.44477 200
6.48656 211
6.52319 162
6.57705 176
6.63522 190
6.6996 183
6.79321 232
6.91386 196
7.17554 201
